Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,_xA,_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,_Matches,Season,Squad
Matheus Pereira,pt POR,"MF,FW",24.0,28.6,790,1097,72.0,12365,4136,443,510,86.9,213,301,70.8,90,193,46.6,6,6.3,5.3,-0.3,59,63,42,8,115,Matches,2020-2021,West Bromwich Albion
Kyle Bartley,eng ENG,DF,29.0,28.7,647,842,76.8,12274,4688,223,266,83.8,345,412,83.7,64,131,48.9,1,1.4,0.9,-0.4,7,47,4,0,44,Matches,2020-2021,West Bromwich Albion
Conor Gallagher,eng ENG,MF,20.0,28.1,737,960,76.8,12114,2989,361,421,85.7,252,303,83.2,81,146,55.5,2,1.8,1.8,0.2,20,75,12,1,97,Matches,2020-2021,West Bromwich Albion
Conor Townsend,eng ENG,DF,27.0,24.8,883,1196,73.8,15009,7163,389,451,86.3,390,503,77.5,78,181,43.1,2,2.7,2.0,-0.7,23,82,26,12,113,Matches,2020-2021,West Bromwich Albion
Dara O'Shea,ie IRL,DF,21.0,23.4,583,924,63.1,12060,6392,217,282,77.0,244,336,72.6,105,250,42.0,0,0.2,0.2,-0.2,5,76,4,0,62,Matches,2020-2021,West Bromwich Albion
Matt Phillips,sct SCO,MF,29.0,20.3,384,563,68.2,6033,1999,202,253,79.8,128,177,72.3,31,68,45.6,1,3.4,2.5,-2.4,26,26,21,11,51,Matches,2020-2021,West Bromwich Albion
Callum Robinson,ie IRL,"FW,MF",25.0,17.3,299,433,69.1,4262,971,170,204,83.3,84,121,69.4,23,45,51.1,0,1.0,0.8,-1.0,16,23,11,5,27,Matches,2020-2021,West Bromwich Albion
Romaine Sawyers,kn SKN,MF,28.0,16.5,616,729,84.5,10470,3057,279,310,90.0,261,293,89.1,53,78,67.9,0,0.6,0.4,-0.6,6,58,4,1,67,Matches,2020-2021,West Bromwich Albion
Okay Yokuşlu,tr TUR,MF,26.0,14.6,439,536,81.9,6882,2492,223,258,86.4,151,177,85.3,40,51,78.4,1,0.7,0.8,0.3,6,39,2,0,54,Matches,2020-2021,West Bromwich Albion
Jake Livermore,eng ENG,MF,30.0,13.8,273,388,70.4,4417,1144,135,170,79.4,107,141,75.9,21,48,43.8,0,0.2,0.2,-0.2,5,23,2,1,26,Matches,2020-2021,West Bromwich Albion
Grady Diangana,eng ENG,"MF,FW",22.0,13.7,260,360,72.2,3328,806,176,212,83.0,62,87,71.3,10,22,45.5,0,0.2,0.2,-0.2,5,13,8,1,32,Matches,2020-2021,West Bromwich Albion
Ainsley Maitland-Niles,eng ENG,MF,22.0,13.7,313,416,75.2,4264,1309,177,214,82.7,81,102,79.4,22,37,59.5,0,0.7,1.3,-0.7,4,28,9,2,47,Matches,2020-2021,West Bromwich Albion
Mbaye Diagne,sn SEN,FW,28.0,13.2,149,241,61.8,1909,382,98,131,74.8,24,57,42.1,10,15,66.7,2,1.0,0.9,1.0,9,10,3,2,12,Matches,2020-2021,West Bromwich Albion
Karlan Grant,eng ENG,"FW,MF",22.0,12.5,164,234,70.1,1990,336,110,141,78.0,34,45,75.6,6,12,50.0,0,0.2,0.3,-0.2,3,5,5,0,13,Matches,2020-2021,West Bromwich Albion
Kieran Gibbs,eng ENG,DF,30.0,9.0,222,313,70.9,3388,1278,125,144,86.8,80,110,72.7,12,44,27.3,0,0.4,0.2,-0.4,4,18,4,3,19,Matches,2020-2021,West Bromwich Albion
Branislav Ivanović,rs SRB,DF,36.0,8.5,267,320,83.4,5173,1545,88,95,92.6,149,167,89.2,26,49,53.1,0,0.1,0.0,-0.1,1,6,2,0,10,Matches,2020-2021,West Bromwich Albion
Robert Snodgrass,sct SCO,"MF,FW",32.0,5.8,107,141,75.9,1632,503,56,66,84.8,39,57,68.4,7,9,77.8,0,0.4,0.5,-0.4,3,11,3,1,14,Matches,2020-2021,West Bromwich Albion
Filip Krovinović,hr CRO,MF,24.0,6.1,306,374,81.8,4854,1527,153,176,86.9,111,129,86.0,25,36,69.4,0,0.2,0.4,-0.2,5,44,8,0,41,Matches,2020-2021,West Bromwich Albion
Lee Peltier,eng ENG,DF,33.0,2.5,49,80,61.3,774,231,25,28,89.3,20,32,62.5,3,13,23.1,0,0.0,0.0,0.0,1,5,2,2,6,Matches,2020-2021,West Bromwich Albion
Hal Robson-Kanu,wls WAL,FW,31.0,6.2,56,81,69.1,755,198,34,41,82.9,16,22,72.7,3,5,60.0,0,0.2,0.2,-0.2,5,6,1,0,11,Matches,2020-2021,West Bromwich Albion
Kamil Grosicki,pl POL,"MF,FW",32.0,1.6,30,45,66.7,455,110,14,18,77.8,12,15,80.0,2,9,22.2,1,0.3,0.1,0.7,3,3,1,0,4,Matches,2020-2021,West Bromwich Albion
Kyle Edwards,eng ENG,"MF,FW",22.0,1.3,31,35,88.6,379,96,22,23,95.7,9,10,90.0,0,1,0.0,0,0.0,0.0,0.0,1,2,0,0,3,Matches,2020-2021,West Bromwich Albion
David Button,eng ENG,GK,31.0,1.0,18,37,48.6,693,571,2,2,100.0,5,5,100.0,11,30,36.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches,2020-2021,West Bromwich Albion
Ahmed Hegazi,eg EGY,DF,29.0,1.0,38,57,66.7,742,399,13,18,72.2,19,26,73.1,6,11,54.5,0,0.0,0.0,0.0,0,1,0,0,2,Matches,2020-2021,West Bromwich Albion
Charlie Austin,eng ENG,"FW,MF",31.0,1.5,23,34,67.6,297,111,17,20,85.0,4,7,57.1,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches,2020-2021,West Bromwich Albion
Sam Field,eng ENG,MF,22.0,0.7,15,25,60.0,209,52,10,14,71.4,2,4,50.0,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches,2020-2021,West Bromwich Albion
Rekeem Harper,eng ENG,MF,20.0,0.4,14,17,82.4,243,41,7,8,87.5,6,6,100.0,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,1,Matches,2020-2021,West Bromwich Albion
Squad Total,,,26.4,38.0,9769,13978,69.9,177501,75746,4418,5278,83.7,3696,4783,77.3,1273,2924,43.5,20,24.4,21.3,-4.4,241,822,196,60,1027,,2020-2021,West Bromwich Albion
Opponent Total,,,26.6,38.0,18892,23277,81.2,316702,107899,9018,10152,88.8,7663,8828,86.8,1599,2948,54.2,52,44.1,42.0,7.9,452,1470,395,84,1802,,2020-2021,West Bromwich Albion
Aaron Ramsdale,eng ENG,GK,21.0,37.0,675,1136,59.4,20764,15997,124,128,96.9,308,310,99.4,242,689,35.1,1,0.7,0.1,0.3,2,20,1,1,0,Matches,2019-2020,Bournemouth
Callum Wilson,eng ENG,FW,27.0,32.3,334,542,61.6,4323,951,227,308,73.7,71,122,58.2,15,25,60.0,1,2.8,2.0,-1.8,28,28,14,1,52,Matches,2019-2020,Bournemouth
Jefferson Lerma,co COL,MF,24.0,30.0,1104,1415,78.0,19745,6712,498,591,84.3,445,528,84.3,132,220,60.0,2,1.4,1.4,0.6,12,136,15,0,137,Matches,2019-2020,Bournemouth
Philip Billing,dk DEN,MF,23.0,28.1,879,1216,72.3,14318,3856,452,594,76.1,317,397,79.8,79,139,56.8,1,1.7,1.9,-0.7,15,70,18,1,100,Matches,2019-2020,Bournemouth
Nathan Aké,nl NED,DF,24.0,27.8,1079,1238,87.2,19315,6988,435,472,92.2,554,608,91.1,82,132,62.1,2,2.2,0.3,-0.2,7,58,7,0,81,Matches,2019-2020,Bournemouth
Steve Cook,eng ENG,DF,28.0,27.0,1016,1296,78.4,20536,7661,279,334,83.5,613,705,87.0,118,222,53.2,0,0.5,0.4,-0.5,4,46,2,0,73,Matches,2019-2020,Bournemouth
Diego Rico,es ESP,DF,26.0,25.9,993,1516,65.5,16826,9108,496,583,85.1,370,555,66.7,104,266,39.1,4,3.2,3.3,0.8,33,96,28,14,145,Matches,2019-2020,Bournemouth
