Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,_xA,_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,_Matches,Season,Squad
Gabriel Dos Santos,br BRA,DF,25-090,27.0,1533,1716,89.3,27470,9624,616,649,94.9,789,841,93.8,108,182,59.3,0,0.2,0.4,-0.2,2,122,2,0,112,Matches,2022-2023,Arsenal
Aaron Ramsdale,eng ENG,GK,24-309,27.0,527,766,68.8,13273,9050,132,138,95.7,258,264,97.7,137,360,38.1,0,0.0,0.0,0.0,0,19,2,0,7,Matches,2022-2023,Arsenal
William Saliba,fr FRA,DF,21-360,26.8,1698,1865,91.0,29692,11617,715,767,93.2,844,905,93.3,108,144,75.0,1,1.2,0.3,-0.2,6,111,3,0,99,Matches,2022-2023,Arsenal
Bukayo Saka,eng ENG,FW,21-195,25.7,797,1063,75.0,11569,2735,491,560,87.7,218,280,77.9,54,113,47.8,9,6.2,4.4,2.8,58,38,49,11,77,Matches,2022-2023,Arsenal
Martin Ødegaard,no NOR,MF,24-092,24.6,1018,1272,80.0,15889,4634,524,596,87.9,358,438,81.7,86,133,64.7,6,6.5,6.0,-0.5,61,90,73,4,199,Matches,2022-2023,Arsenal
Granit Xhaka,ch SUI,MF,30-173,24.5,1063,1260,84.4,17442,4590,516,579,89.1,425,492,86.4,90,111,81.1,5,4.1,3.3,0.9,38,119,32,2,160,Matches,2022-2023,Arsenal
Martinelli,br BRA,FW,21-274,24.1,662,883,75.0,10334,2102,350,408,85.8,234,284,82.4,53,107,49.5,2,5.5,5.0,-3.5,43,26,31,3,80,Matches,2022-2023,Arsenal
Ben White,eng ENG,DF,25-162,23.0,1331,1593,83.6,22408,7475,623,684,91.1,598,686,87.2,85,155,54.8,2,2.0,2.6,0.0,20,163,31,10,184,Matches,2022-2023,Arsenal
Thomas Partey,gh GHA,MF,29-279,19.7,1243,1438,86.4,21674,6636,572,633,90.4,511,575,88.9,131,181,72.4,0,1.2,1.7,-1.2,21,164,18,2,164,Matches,2022-2023,Arsenal
Oleksandr Zinchenko,ua UKR,DF,26-094,17.7,1244,1438,86.5,20083,5725,634,683,92.8,504,580,86.9,74,106,69.8,2,1.4,2.1,0.6,18,143,34,4,178,Matches,2022-2023,Arsenal
Gabriel Jesus,br BRA,FW,25-350,13.7,331,410,80.7,4870,1091,179,211,84.8,115,130,88.5,17,26,65.4,5,2.8,1.7,2.2,22,23,13,1,39,Matches,2022-2023,Arsenal
Eddie Nketiah,eng ENG,FW,23-293,11.1,192,237,81.0,2689,337,123,142,86.6,55,64,85.9,7,9,77.8,1,1.1,1.3,-0.1,7,7,6,0,15,Matches,2022-2023,Arsenal
Takehiro Tomiyasu,jp JPN,DF,24-134,7.4,384,474,81.0,6453,2036,173,200,86.5,171,199,85.9,30,56,53.6,1,0.6,0.2,0.4,4,41,6,2,51,Matches,2022-2023,Arsenal
Leandro Trossard,be BEL,FW,28-105,4.3,144,196,73.5,2303,574,78,88,88.6,46,64,71.9,14,26,53.8,5,1.8,1.1,3.2,8,7,17,3,25,Matches,2022-2023,Arsenal
Kieran Tierney,sct SCO,DF,25-287,5.5,245,328,74.7,4598,1455,100,117,85.5,118,144,81.9,24,48,50.0,0,0.2,0.3,-0.2,3,26,6,1,28,Matches,2022-2023,Arsenal
Jorginho,it ITA,MF,31-089,3.9,254,304,83.6,4327,1316,109,125,87.2,106,121,87.6,27,36,75.0,0,0.1,0.3,-0.1,3,37,6,0,48,Matches,2022-2023,Arsenal
Fabio Vieira,pt POR,"MF,FW",22-293,4.6,189,231,81.8,2772,636,108,117,92.3,64,76,84.2,7,19,36.8,2,2.3,1.1,-0.3,9,19,6,1,27,Matches,2022-2023,Arsenal
Albert Sambi Lokonga,be BEL,MF,23-148,2.2,132,140,94.3,2321,539,59,62,95.2,60,63,95.2,11,12,91.7,0,0.0,0.1,0.0,1,17,1,0,12,Matches,2022-2023,Arsenal
Mohamed Elneny,eg EGY,MF,30-251,1.3,57,60,95.0,1031,224,23,23,100.0,27,29,93.1,6,6,100.0,0,0.0,0.0,0.0,0,3,2,0,2,Matches,2022-2023,Arsenal
Emile Smith Rowe,eng ENG,"FW,MF",22-234,1.2,52,61,85.2,683,145,33,36,91.7,16,19,84.2,2,3,66.7,1,0.6,0.5,0.4,5,2,2,0,3,Matches,2022-2023,Arsenal
Reiss Nelson,eng ENG,FW,23-099,1.2,57,66,86.4,727,117,36,39,92.3,15,17,88.2,2,4,50.0,2,0.5,0.4,1.5,6,1,4,2,2,Matches,2022-2023,Arsenal
Cédric Soares,pt POR,DF,31-200,0.3,19,24,79.2,257,54,10,10,100.0,8,10,80.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,3,Matches,2022-2023,Arsenal
Rob Holding,eng ENG,DF,27-180,0.2,5,6,83.3,103,21,1,1,100.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,2022-2023,Arsenal
Marquinhos,br BRA,MF,19-346,0.0,2,3,66.7,34,5,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Arsenal
Ethan Nwaneri,eng ENG,FW,15-363,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Arsenal
Squad Total,,,25.1,27.0,13179,15834,83.2,223002,72738,6206,6870,90.3,5545,6286,88.2,1073,1841,58.3,44,38.2,32.9,5.8,335,1178,344,46,1516,,2022-2023,Arsenal
Opponent Total,,,27.5,27.0,7963,10606,75.1,141372,53701,3677,4265,86.2,3225,3885,83.0,831,1800,46.2,16,19.5,16.7,-3.5,168,543,137,33,625,,2022-2023,Arsenal
Ederson,br BRA,GK,29-214,27.0,813,945,86.0,19733,12906,175,177,98.9,430,434,99.1,207,332,62.3,1,0.2,0.2,0.8,1,8,0,0,0,Matches,2022-2023,Manchester City
Rodri,es ESP,MF,26-270,24.9,2136,2345,91.1,39412,9593,859,928,92.6,998,1069,93.4,243,286,85.0,5,3.9,3.2,1.1,30,229,27,3,214,Matches,2022-2023,Manchester City
Erling Haaland,no NOR,FW,22-241,23.5,271,373,72.7,3371,670,161,202,79.7,78,106,73.6,6,8,75.0,5,3.7,2.6,1.3,19,11,16,0,41,Matches,2022-2023,Manchester City
Kevin De Bruyne,be BEL,MF,31-264,21.5,884,1236,71.5,16674,5074,394,472,83.5,352,474,74.3,125,220,56.8,12,10.4,11.4,1.6,76,97,77,16,188,Matches,2022-2023,Manchester City
Bernardo Silva,pt POR,"MF,FW",28-221,19.8,1058,1240,85.3,17023,2956,566,612,92.5,376,429,87.6,80,126,63.5,5,2.8,3.4,2.2,26,61,28,8,100,Matches,2022-2023,Manchester City
İlkay Gündoğan,de GER,MF,32-146,19.5,880,1032,85.3,13698,3187,472,526,89.7,313,349,89.7,65,90,72.2,3,2.6,3.2,0.4,31,98,29,1,126,Matches,2022-2023,Manchester City
Manuel Akanji,ch SUI,DF,27-243,18.1,1339,1434,93.4,23021,7402,606,625,97.0,634,664,95.5,83,118,70.3,1,0.3,0.4,0.7,5,96,2,1,84,Matches,2022-2023,Manchester City
Jack Grealish,eng ENG,"FW,MF",27-190,16.9,656,781,84.0,9412,1677,403,439,91.8,207,239,86.6,27,47,57.4,4,4.8,4.5,-0.8,38,22,26,0,67,Matches,2022-2023,Manchester City
Nathan Aké,nl NED,DF,28-029,16.8,1312,1456,90.1,21143,7387,637,672,94.8,595,645,92.2,56,87,64.4,0,0.6,1.1,-0.6,8,118,7,1,113,Matches,2022-2023,Manchester City
Phil Foden,eng ENG,FW,22-295,15.6,678,846,80.1,10379,1859,388,430,90.2,219,260,84.2,43,89,48.3,5,3.0,3.5,2.0,33,28,26,8,62,Matches,2022-2023,Manchester City
João Cancelo,pt POR,DF,28-296,14.2,1036,1220,84.9,16674,4147,578,621,93.1,363,430,84.4,81,123,65.9,1,0.9,1.5,0.1,12,80,36,9,106,Matches,2022-2023,Manchester City
Rúben Dias,pt POR,DF,25-309,15.2,1264,1369,92.3,23364,8286,442,466,94.8,722,758,95.3,90,124,72.6,0,0.1,0.2,-0.1,2,95,0,0,74,Matches,2022-2023,Manchester City
John Stones,eng ENG,DF,28-295,14.1,1044,1121,93.1,17789,5130,487,510,95.5,468,494,94.7,75,93,80.6,2,1.3,0.8,0.7,6,79,2,0,77,Matches,2022-2023,Manchester City
Kyle Walker,eng ENG,DF,32-295,13.0,1024,1186,86.3,17822,5119,460,496,92.7,464,517,89.7,87,136,64.0,0,0.2,0.4,-0.2,5,120,5,2,111,Matches,2022-2023,Manchester City
Riyad Mahrez,dz ALG,"FW,MF",32-026,11.8,541,641,84.4,8973,1749,284,314,90.4,195,225,86.7,52,79,65.8,4,3.3,3.2,0.7,26,23,26,6,51,Matches,2022-2023,Manchester City
Julián Álvarez,ar ARG,"FW,MF",23-047,8.3,199,255,78.0,2573,401,121,143,84.6,48,64,75.0,11,15,73.3,0,1.1,0.8,-1.1,9,11,6,2,22,Matches,2022-2023,Manchester City
Aymeric Laporte,es ESP,DF,28-296,6.2,441,482,91.5,7435,2135,215,225,95.6,185,200,92.5,34,44,77.3,0,0.2,0.3,-0.2,4,46,6,0,46,Matches,2022-2023,Manchester City
Rico Lewis,eng ENG,"DF,MF",18-118,6.0,389,423,92.0,5624,846,239,250,95.6,130,138,94.2,11,15,73.3,0,0.8,1.0,-0.8,7,22,8,3,31,Matches,2022-2023,Manchester City
Sergio Gómez,es ESP,"DF,MF",22-196,1.6,102,120,85.0,1561,427,52,57,91.2,39,44,88.6,5,8,62.5,1,0.4,0.2,0.6,2,13,2,0,10,Matches,2022-2023,Manchester City
Cole Palmer,eng ENG,"FW,MF",20-317,1.3,62,72,86.1,1020,146,32,33,97.0,26,29,89.7,3,7,42.9,0,0.2,0.3,-0.2,3,2,5,1,7,Matches,2022-2023,Manchester City
Kalvin Phillips,eng ENG,MF,27-107,0.7,55,60,91.7,880,166,26,30,86.7,26,26,100.0,2,3,66.7,0,0.0,0.0,0.0,1,5,0,0,3,Matches,2022-2023,Manchester City
Máximo Perrone,ar ARG,MF,20-071,0.2,18,21,85.7,228,32,11,12,91.7,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2,Matches,2022-2023,Manchester City
Squad Total,,,27.9,27.0,16202,18658,86.8,277809,81295,7608,8240,92.3,6873,7599,90.4,1386,2050,67.6,49,40.5,42.2,8.5,344,1264,334,61,1535,,2022-2023,Manchester City
Opponent Total,,,27.5,27.0,8073,10375,77.8,146343,53790,3519,4024,87.5,3473,3992,87.0,849,1760,48.2,15,15.9,13.8,-0.9,148,469,139,39,627,,2022-2023,Manchester City
David de Gea,es ESP,GK,32-132,26.0,581,810,71.7,14703,10457,149,149,100.0,264,268,98.5,163,383,42.6,0,0.1,0.0,-0.1,1,2,1,0,0,Matches,2022-2023,Manchester United
Bruno Fernandes,pt POR,"MF,FW",28-192,25.0,927,1278,72.5,15492,5206,491,583,84.2,288,374,77.0,111,204,54.4,6,10.1,6.7,-4.1,71,89,54,6,164,Matches,2022-2023,Manchester United
Marcus Rashford,eng ENG,FW,25-139,23.6,435,583,74.6,6172,1522,288,342,84.2,97,126,77.0,28,47,59.6,3,2.5,2.1,0.5,18,24,33,2,57,Matches,2022-2023,Manchester United
Lisandro Martínez,ar ARG,DF,25-060,20.6,1144,1321,86.6,20633,7000,453,483,93.8,594,632,94.0,82,172,47.7,0,0.3,1.0,-0.3,6,79,5,0,71,Matches,2022-2023,Manchester United
Luke Shaw,eng ENG,DF,27-250,20.5,1197,1465,81.7,18562,7100,676,739,91.5,414,492,84.1,77,145,53.1,2,2.8,2.1,-0.8,27,113,25,12,98,Matches,2022-2023,Manchester United
Christian Eriksen,dk DEN,MF,31-033,16.5,813,1031,78.9,13451,3987,423,480,88.1,289,345,83.8,74,146,50.7,7,3.0,2.5,4.0,25,89,17,2,104,Matches,2022-2023,Manchester United
Diogo Dalot,pt POR,DF,24-001,16.9,778,1008,77.2,13987,4440,328,375,87.5,358,433,82.7,78,148,52.7,2,1.7,1.3,0.3,25,64,23,13,57,Matches,2022-2023,Manchester United
Raphaël Varane,fr FRA,DF,29-328,16.4,734,856,85.7,13852,4359,240,268,89.6,433,472,91.7,51,95,53.7,0,0.1,0.3,-0.1,3,60,3,0,45,Matches,2022-2023,Manchester United
Casemiro,br BRA,MF,31-024,14.9,705,916,77.0,12621,4247,319,384,83.1,289,352,82.1,83,138,60.1,3,2.0,2.6,1.0,17,81,16,3,89,Matches,2022-2023,Manchester United
Antony,br BRA,"FW,MF",23-023,11.9,349,453,77.0,4440,931,246,281,87.5,74,108,68.5,13,27,48.1,0,0.6,0.8,-0.6,11,17,10,0,34,Matches,2022-2023,Manchester United
Jadon Sancho,eng ENG,"FW,MF",22-359,10.3,340,406,83.7,4160,950,233,262,88.9,78,89,87.6,7,14,50.0,1,1.6,1.8,-0.6,21,10,21,0,43,Matches,2022-2023,Manchester United
Fred,br BRA,MF,30-014,10.8,465,590,78.8,7232,2032,252,291,86.6,150,179,83.8,39,62,62.9,1,2.0,1.0,-1.0,22,43,7,2,52,Matches,2022-2023,Manchester United
Tyrell Malacia,nl NED,DF,23-214,10.2,403,482,83.6,5822,1741,257,279,92.1,114,135,84.4,19,37,51.4,0,0.1,0.4,-0.1,1,26,2,0,28,Matches,2022-2023,Manchester United
Aaron Wan-Bissaka,eng ENG,DF,25-113,8.2,339,413,82.1,4663,1807,223,242,92.1,87,114,76.3,15,24,62.5,0,0.7,0.5,-0.7,7,27,4,2,26,Matches,2022-2023,Manchester United
Wout Weghorst,nl NED,"FW,MF",30-224,6.2,98,136,72.1,1185,300,67,86,77.9,17,23,73.9,5,11,45.5,1,0.7,0.9,0.3,8,7,1,0,14,Matches,2022-2023,Manchester United
Scott McTominay,sct SCO,MF,26-101,9.6,260,315,82.5,4120,1216,135,160,84.4,97,109,89.0,19,28,67.9,0,0.2,0.5,-0.2,4,24,3,0,24,Matches,2022-2023,Manchester United
Anthony Martial,fr FRA,FW,27-104,5.1,107,133,80.5,1316,409,70,78,89.7,28,33,84.8,2,6,33.3,2,0.9,0.8,1.1,5,9,4,0,15,Matches,2022-2023,Manchester United
Victor Lindelöf,se SWE,DF,28-245,6.0,361,391,92.3,6288,2001,135,143,94.4,200,209,95.7,21,34,61.8,0,0.0,0.0,0.0,0,19,0,0,17,Matches,2022-2023,Manchester United
Harry Maguire,eng ENG,DF,30-014,5.4,326,377,86.5,6630,1932,99,104,95.2,179,201,89.1,43,64,67.2,0,0.0,0.0,0.0,1,21,0,0,15,Matches,2022-2023,Manchester United
Anthony Elanga,se SWE,FW,20-326,4.7,95,130,73.1,1201,298,65,86,75.6,23,32,71.9,3,3,100.0,1,0.9,1.0,0.1,6,3,3,0,8,Matches,2022-2023,Manchester United
Cristiano Ronaldo,pt POR,FW,38-042,5.8,121,162,74.7,1412,258,85,97,87.6,27,39,69.2,1,5,20.0,0,0.4,0.2,-0.4,6,7,1,0,12,Matches,2022-2023,Manchester United
Alejandro Garnacho,es ESP,"FW,MF",18-261,5.0,115,143,80.4,1327,143,87,102,85.3,20,21,95.2,2,2,100.0,2,1.0,0.9,1.0,2,1,1,0,5,Matches,2022-2023,Manchester United
Marcel Sabitzer,at AUT,MF,29-002,3.1,139,170,81.8,2299,704,69,82,84.1,58,67,86.6,10,13,76.9,0,0.5,0.2,-0.5,5,17,3,1,23,Matches,2022-2023,Manchester United
Donny van de Beek,nl NED,MF,25-335,1.9,46,61,75.4,502,115,31,34,91.2,8,8,100.0,1,2,50.0,0,0.1,0.1,-0.1,3,0,4,0,6,Matches,2022-2023,Manchester United
Facundo Pellistri,uy URU,"FW,MF",21-089,0.5,11,12,91.7,145,6,6,7,85.7,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Manchester United
Kobbie Mainoo,eng ENG,MF,17-334,0.1,7,8,87.5,83,31,5,6,83.3,2,2,100.0,0,0,,0,0.0,0.1,0.0,0,1,1,0,1,Matches,2022-2023,Manchester United
Squad Total,,,27.6,26.0,10896,13650,79.8,182298,63192,5432,6143,88.4,4193,4868,86.1,947,1810,52.3,31,32.1,27.9,-1.1,295,833,242,43,1008,,2022-2023,Manchester United
Opponent Total,,,27.1,26.0,9538,12320,77.4,165687,61374,4479,5169,86.7,3909,4667,83.8,905,1777,50.9,23,24.0,24.5,-1.0,240,683,208,52,938,,2022-2023,Manchester United
Harry Kane,eng ENG,FW,29-234,27.8,461,665,69.3,8703,3094,211,273,77.3,162,206,78.6,73,117,62.4,2,4.5,2.3,-2.5,43,69,38,5,133,Matches,2022-2023,Tottenham Hotspur
Pierre Højbjerg,dk DEN,MF,27-226,26.8,1614,1816,88.9,28842,7653,713,773,92.2,652,710,91.8,189,238,79.4,3,2.3,2.6,0.7,22,162,30,5,193,Matches,2022-2023,Tottenham Hotspur
Eric Dier,eng ENG,DF,29-063,25.3,1432,1653,86.6,27645,10886,524,565,92.7,718,772,93.0,164,263,62.4,1,1.2,0.4,-0.2,7,63,6,3,72,Matches,2022-2023,Tottenham Hotspur
Son Heung-min,kr KOR,"MF,FW",30-254,22.5,486,672,72.3,6605,1950,294,344,85.5,129,177,72.9,28,76,36.8,4,4.6,3.2,-0.6,47,26,24,4,58,Matches,2022-2023,Tottenham Hotspur
Hugo Lloris,fr FRA,GK,36-083,21.0,493,625,78.9,11886,7412,151,153,98.7,211,212,99.5,131,256,51.2,0,0.0,0.0,0.0,0,12,0,0,0,Matches,2022-2023,Tottenham Hotspur
Ben Davies,wls WAL,DF,29-329,20.3,882,1068,82.6,14651,5012,427,473,90.3,373,428,87.1,60,112,53.6,2,2.3,1.3,-0.3,17,66,6,3,96,Matches,2022-2023,Tottenham Hotspur
Cristian Romero,ar ARG,DF,24-326,18.3,966,1102,87.7,17705,6373,367,407,90.2,495,522,94.8,83,121,68.6,0,0.3,0.6,-0.3,3,60,7,0,65,Matches,2022-2023,Tottenham Hotspur
Ivan Perišić,hr CRO,"DF,MF",34-045,17.5,541,841,64.3,9567,2779,266,328,81.1,190,297,64.0,71,159,44.7,5,4.1,3.9,0.9,34,21,29,20,47,Matches,2022-2023,Tottenham Hotspur
Rodrigo Bentancur,uy URU,MF,25-267,16.7,738,880,83.9,11482,3178,368,413,89.1,301,336,89.6,39,70,55.7,2,0.8,0.7,1.2,11,54,9,4,76,Matches,2022-2023,Tottenham Hotspur
Dejan Kulusevski,se SWE,"MF,FW",22-328,16.3,418,548,76.3,5780,1500,249,294,84.7,129,165,78.2,19,40,47.5,6,3.9,4.2,2.1,36,11,27,9,47,Matches,2022-2023,Tottenham Hotspur
Emerson,br BRA,DF,24-064,15.5,662,832,79.6,10353,2999,351,392,89.5,248,292,84.9,40,74,54.1,1,0.6,1.0,0.4,9,43,16,3,70,Matches,2022-2023,Tottenham Hotspur
Clément Lenglet,fr FRA,DF,27-275,15.2,874,1009,86.6,16360,5987,325,336,96.7,445,494,90.1,89,149,59.7,2,0.6,0.7,1.4,5,54,8,4,58,Matches,2022-2023,Tottenham Hotspur
Ryan Sessegnon,eng ENG,DF,22-305,9.0,280,390,71.8,4093,1075,178,213,83.6,81,120,67.5,16,29,55.2,0,1.1,1.1,-1.1,6,16,11,3,22,Matches,2022-2023,Tottenham Hotspur
Richarlison,br BRA,"MF,FW",25-313,8.3,162,223,72.6,2433,619,87,112,77.7,50,67,74.6,11,15,73.3,3,1.8,1.4,1.2,13,14,9,2,24,Matches,2022-2023,Tottenham Hotspur
Yves Bissouma,ml MLI,MF,26-201,9.0,514,571,90.0,7843,1774,266,281,94.7,208,225,92.4,25,33,75.8,0,0.5,0.3,-0.5,8,40,4,1,45,Matches,2022-2023,Tottenham Hotspur
Oliver Skipp,eng ENG,MF,22-184,7.2,302,357,84.6,4841,1328,152,168,90.5,122,136,89.7,19,27,70.4,0,0.4,0.2,-0.4,7,23,5,1,35,Matches,2022-2023,Tottenham Hotspur
Matt Doherty,ie IRL,"DF,MF",31-062,7.4,329,408,80.6,4896,1222,190,204,93.1,107,137,78.1,18,35,51.4,0,0.3,0.3,-0.3,6,14,5,3,20,Matches,2022-2023,Tottenham Hotspur
Fraser Forster,eng ENG,GK,35-002,7.0,143,170,84.1,3108,1832,44,44,100.0,74,74,100.0,24,50,48.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Tottenham Hotspur
Davinson Sánchez,co COL,DF,26-280,6.4,356,406,87.7,6434,1901,127,132,96.2,208,224,92.9,18,40,45.0,0,0.1,0.2,-0.1,1,28,1,1,25,Matches,2022-2023,Tottenham Hotspur
Pedro Porro,es ESP,DF,23-187,3.7,153,195,78.5,2238,749,88,98,89.8,55,69,79.7,7,18,38.9,1,0.9,0.8,0.1,8,11,9,5,16,Matches,2022-2023,Tottenham Hotspur
Bryan,es ESP,"MF,FW",22-036,1.6,47,60,78.3,638,92,26,32,81.3,14,16,87.5,2,4,50.0,1,0.2,0.1,0.8,2,3,2,0,5,Matches,2022-2023,Tottenham Hotspur
Japhet Tanganga,eng ENG,DF,23-353,1.6,80,89,89.9,1288,521,41,45,91.1,33,36,91.7,5,7,71.4,0,0.0,0.0,0.0,0,4,1,1,5,Matches,2022-2023,Tottenham Hotspur
Pape Matar Sarr,sn SEN,MF,20-186,1.6,103,113,91.2,1512,350,53,56,94.6,43,45,95.6,2,5,40.0,0,0.0,0.0,0.0,1,7,0,0,11,Matches,2022-2023,Tottenham Hotspur
Lucas Moura,br BRA,"MF,DF",30-218,1.3,45,64,70.3,609,197,29,37,78.4,15,20,75.0,0,1,0.0,0,0.3,0.3,-0.3,3,2,5,1,9,Matches,2022-2023,Tottenham Hotspur
Arnaut Danjuma,nl NED,FW,26-047,0.1,6,11,54.5,99,8,3,5,60.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,0,Matches,2022-2023,Tottenham Hotspur
Djed Spence,eng ENG,"FW,DF",22-222,0.1,5,9,55.6,60,4,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Tottenham Hotspur
Harvey White,eng ENG,MF,21-181,0.1,3,8,37.5,54,21,2,3,66.7,0,2,0.0,1,3,33.3,0,0.0,0.0,0.0,0,0,1,1,0,Matches,2022-2023,Tottenham Hotspur
Squad Total,,,28.4,28.0,12095,14785,81.8,209725,70516,5536,6186,89.5,5066,5785,87.6,1135,1943,58.4,33,30.6,25.6,2.4,290,803,254,80,1132,,2022-2023,Tottenham Hotspur
Opponent Total,,,27.3,28.0,11893,14603,81.4,202740,64804,5721,6377,89.7,4778,5465,87.4,1095,2030,53.9,28,23.6,24.1,4.4,292,994,192,45,1073,,2022-2023,Tottenham Hotspur
Kieran Trippier,eng ENG,DF,32-181,25.4,1291,1827,70.7,24720,11016,558,642,86.9,489,650,75.2,219,444,49.3,5,7.7,7.9,-2.7,73,116,67,21,166,Matches,2022-2023,Newcastle United
Nick Pope,eng ENG,GK,30-334,25.2,441,647,68.2,12046,8285,89,89,100.0,206,212,97.2,141,340,41.5,0,0.0,0.0,0.0,0,9,0,0,1,Matches,2022-2023,Newcastle United
Dan Burn,eng ENG,DF,30-314,24.6,948,1202,78.9,15732,5919,461,523,88.1,399,493,80.9,69,131,52.7,0,1.1,1.1,-1.1,12,66,7,1,76,Matches,2022-2023,Newcastle United
Fabian Schär,ch SUI,DF,31-089,23.8,936,1240,75.5,19377,7674,311,366,85.0,481,567,84.8,138,278,49.6,0,1.0,1.3,-1.0,12,98,14,1,104,Matches,2022-2023,Newcastle United
Miguel Almirón,py PAR,FW,29-037,22.0,638,771,82.7,8703,2185,391,430,90.9,190,232,81.9,24,34,70.6,1,1.6,2.2,-0.6,18,37,25,2,106,Matches,2022-2023,Newcastle United
Sven Botman,nl NED,DF,23-066,22.7,1018,1180,86.3,20945,7699,300,342,87.7,576,628,91.7,129,182,70.9,0,0.9,1.0,-0.9,7,48,2,0,61,Matches,2022-2023,Newcastle United
Sean Longstaff,eng ENG,MF,25-140,22.4,733,922,79.5,12203,3515,356,414,86.0,289,336,86.0,66,110,60.0,3,2.9,2.3,0.1,19,66,17,4,97,Matches,2022-2023,Newcastle United
Joe Willock,eng ENG,MF,23-211,20.1,562,692,81.2,8826,2227,313,352,88.9,188,221,85.1,44,67,65.7,4,4.0,2.9,0.0,24,63,23,7,86,Matches,2022-2023,Newcastle United
Joelinton,br BRA,"MF,FW",26-217,20.6,724,877,82.6,10601,2839,409,465,88.0,236,262,90.1,42,53,79.2,1,1.8,1.6,-0.8,19,56,16,3,89,Matches,2022-2023,Newcastle United
Bruno Guimarães,br BRA,MF,25-123,18.5,793,969,81.8,13614,3796,383,429,89.3,303,357,84.9,82,121,67.8,3,1.8,1.8,1.2,19,80,31,1,127,Matches,2022-2023,Newcastle United
Callum Wilson,eng ENG,FW,31-020,13.8,113,161,70.2,1390,244,73,94,77.7,26,33,78.8,3,7,42.9,3,1.6,1.5,1.4,14,8,5,0,15,Matches,2022-2023,Newcastle United
Allan Saint-Maximin,fr FRA,FW,26-007,9.6,238,342,69.6,3931,1236,126,160,78.8,81,120,67.5,24,32,75.0,3,2.2,1.7,0.8,17,19,27,4,52,Matches,2022-2023,Newcastle United
Jacob Murphy,eng ENG,FW,28-023,8.5,173,268,64.6,2685,696,99,123,80.5,59,88,67.0,9,25,36.0,1,1.2,1.6,-0.2,12,8,17,3,35,Matches,2022-2023,Newcastle United
Alexander Isak,se SWE,FW,23-179,6.9,87,121,71.9,1241,280,51,71,71.8,23,29,79.3,7,7,100.0,0,0.6,0.2,-0.6,8,11,3,0,13,Matches,2022-2023,Newcastle United
Chris Wood,nz NZL,FW,31-102,5.0,66,106,62.3,786,149,40,67,59.7,16,25,64.0,4,5,80.0,0,0.3,0.3,-0.3,3,3,1,0,4,Matches,2022-2023,Newcastle United
Matt Targett,eng ENG,DF,27-182,4.8,219,286,76.6,3578,1471,109,125,87.2,94,107,87.9,13,44,29.5,0,0.3,0.6,-0.3,7,16,5,0,31,Matches,2022-2023,Newcastle United
Ryan Fraser,sct SCO,FW,29-023,3.5,85,122,69.7,1228,289,50,59,84.7,28,41,68.3,3,8,37.5,0,0.4,0.3,-0.4,5,4,4,1,9,Matches,2022-2023,Newcastle United
Jamaal Lascelles,eng ENG,DF,29-128,2.2,65,79,82.3,1219,511,24,29,82.8,32,36,88.9,7,11,63.6,0,0.0,0.0,0.0,0,3,0,0,3,Matches,2022-2023,Newcastle United
Elliot Anderson,sct SCO,"FW,MF",20-133,2.1,68,92,73.9,992,326,36,44,81.8,24,29,82.8,3,5,60.0,0,0.6,0.7,-0.6,4,8,1,0,9,Matches,2022-2023,Newcastle United
Anthony Gordon,eng ENG,"FW,MF",22-023,1.8,60,70,85.7,729,195,44,48,91.7,12,12,100.0,2,5,40.0,0,0.6,0.4,-0.6,3,7,1,0,5,Matches,2022-2023,Newcastle United
Martin Dúbravka,sk SVK,GK,34-063,0.7,19,22,86.4,418,293,9,9,100.0,4,4,100.0,5,8,62.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches,2022-2023,Newcastle United
Matt Ritchie,sct SCO,"FW,MF",33-190,0.4,21,27,77.8,285,59,14,14,100.0,4,6,66.7,2,3,66.7,0,0.1,0.0,-0.1,1,0,0,0,0,Matches,2022-2023,Newcastle United
Jonjo Shelvey,eng ENG,MF,31-020,0.4,19,26,73.1,442,176,5,6,83.3,8,10,80.0,4,8,50.0,0,0.0,0.0,0.0,0,4,0,0,3,Matches,2022-2023,Newcastle United
